NORAD_ID,OBJECT_NAME,INCLINATION,RAAN,ECCENTRICITY,ARG_OF_PERIGEE,MEAN_ANOMALY,MEAN_MOTION,BSTAR,EPOCH
00976,DEBRIS_00976,79.3164,39.8324,0.0112124,219.6415,139.6514,14.08056373,31330-3,26099.26374699
977,DEBRIS_977,80.0457,223.1453,0.0125684,335.1356,24.3769,13.79081941,33051-3,26099.76448373
01000,DEBRIS_01000,32.1393,138.9098,0.0011018,122.9626,237.1931,9.88891532,-14690-5,26099.37368281
1099,DEBRIS_1099,89.8102,139.3547,0.0041153,123.9596,50.2350,13.62821446,21837-3,26099.88677381
01312,DEBRIS_01312,96.3372,124.4682,0.1115075,288.7385,59.6028,12.28244179,10497-3,26090.37516601
01313,DEBRIS_01313,96.4187,74.8104,0.1174983,117.6335,254.8933,12.00833078,61965-3,26096.69431215
1316,DEBRIS_1316,90.2618,25.7927,0.0038557,12.6571,347.5523,13.22429311,16353-2,26099.78856291
1335,DEBRIS_1335,56.0733,201.1923,0.0527572,28.1503,334.6950,13.87422129,32845-3,26099.50547007
1389,DEBRIS_1389,89.8654,220.5553,0.0018186,325.1535,49.3916,13.14681020,15596-2,26099.60108671
1392,DEBRIS_1392,55.8567,154.0030,0.0136261,268.4232,90.1184,15.14983090,14063-2,26099.86461257
01399,DEBRIS_01399,90.2726,23.3381,0.0010571,94.3216,265.9114,12.99897335,18602-2,26099.22201854
1425,DEBRIS_1425,89.8723,285.7737,0.0075541,64.0305,3.1229,13.48944002,51060-4,26099.54622316
1435,DEBRIS_1435,89.8768,290.8919,0.0058078,159.9396,254.3277,13.73271654,77346-3,26099.51612338
01477,DEBRIS_01477,55.4921,98.0610,0.0589014,211.1220,145.3541,12.99640152,65773-3,26099.01959759
1478,DEBRIS_1478,56.0750,212.5323,0.0590472,122.4286,243.5197,13.55907066,11436-2,26099.54908345
01479,DEBRIS_01479,56.0325,130.2777,0.0737315,332.9070,23.5089,12.59978729,20584-3,26099.38408136
1480,DEBRIS_1480,56.0694,169.5569,0.0831308,347.6178,10.5374,12.64443951,22991-3,26099.51460819
1504,DEBRIS_1504,89.9592,241.9010,0.0067090,56.2171,110.9444,13.40383052,36566-3,26098.89749685
1511,DEBRIS_1511,89.9995,211.4756,0.0069690,40.6878,81.2655,13.34196563,87567-4,26099.81220304
1521,DEBRIS_1521,90.0220,210.1448,0.0071393,94.9892,29.1479,13.33281478,67158-4,26099.81258826
1522,DEBRIS_1522,90.0656,126.0412,0.0072908,80.5734,31.8787,13.33852194,79133-4,26099.54614808
01529,DEBRIS_01529,98.9937,337.4727,0.0037057,63.1366,297.3593,14.24240767,95122-4,26099.41103942
01549,DEBRIS_01549,56.1617,116.0377,0.0839155,8.8692,352.6055,12.64482183,37254-3,26099.35395529
01576,DEBRIS_01576,34.2233,2.7859,0.1378576,9.3260,353.0404,11.82652029,19949-2,26099.01389670
01590,DEBRIS_01590,56.0846,283.3336,0.0171516,304.2240,90.4296,12.49803356,17599-2,26098.55161331
01591,DEBRIS_01591,56.0585,334.0077,0.0151886,236.0195,160.6698,12.43048512,27449-2,26098.69702807
01608,DEBRIS_01608,89.7596,68.0204,0.0016056,334.7553,182.3821,13.86114301,85167-3,26099.35494385
1617,DEBRIS_1617,56.1278,244.7174,0.0234610,217.3348,164.9218,12.34830902,18081-2,26099.68512006
01618,DEBRIS_01618,56.1774,327.1740,0.0225646,171.4029,14.0169,12.30394515,22971-2,26099.39046972
1634,DEBRIS_1634,56.1543,250.2852,0.0851882,348.1533,10.0404,12.48529083,-20236-3,26099.66338618
1642,DEBRIS_1642,32.0927,245.3893,0.0022990,52.7321,307.5423,14.84406981,12050-3,26099.67325725
1646,DEBRIS_1646,32.3103,47.5119,0.0002810,340.0178,20.0364,14.77402369,16258-3,26099.57177362
1653,DEBRIS_1653,32.1183,211.6716,0.0040645,154.8155,205.4482,14.64303531,79018-4,26099.59715594
01668,DEBRIS_01668,32.0672,237.7878,0.0014243,66.1235,294.0906,14.82398409,15845-3,26099.09712876
1671,DEBRIS_1671,32.1605,93.1894,0.0052160,340.7210,19.1462,14.53965918,10858-3,26099.64619895
01680,DEBRIS_01680,32.2550,215.9141,0.0020688,327.2966,32.6401,14.65685810,65892-4,26099.03177070
01682,DEBRIS_01682,32.4126,50.6412,0.0047966,236.4360,123.1707,14.74290157,27038-3,26099.53738093
1684,DEBRIS_1684,32.2131,208.5689,0.0166596,190.1733,169.5512,14.40224431,56225-3,26099.58818581
1716,DEBRIS_1716,32.1914,348.7800,0.0037617,67.6734,292.7892,14.57522607,13959-3,26099.87447973
01722,DEBRIS_01722,32.4198,0.9650,0.0027687,252.5265,107.2359,14.63980783,12085-3,26099.43999487
01829,DEBRIS_01829,32.2905,355.0117,0.0023520,153.9115,206.2731,14.89228405,19665-3,26099.10118316
01833,DEBRIS_01833,32.2274,261.8190,0.0058562,215.9948,143.6749,14.73941326,52282-3,26098.74197876
01835,DEBRIS_01835,32.3941,99.0599,0.0012279,282.8445,77.0847,15.08693177,24083-3,26099.27242966
01859,DEBRIS_01859,32.1250,206.7126,0.0066641,117.8549,242.8863,14.49077431,13807-3,26098.98102658
01883,DEBRIS_01883,32.0911,123.8295,0.0013130,120.1893,240.0071,15.22913950,21659-3,26099.33513913
01915,DEBRIS_01915,31.8783,340.0363,0.0028726,11.4678,348.6611,14.58428856,85651-4,26098.97806334
01931,DEBRIS_01931,99.0133,132.5381,0.0235067,279.7497,77.7215,14.35048857,17215-3,26098.99570785
1942,DEBRIS_1942,67.2665,144.4448,0.0346369,296.7657,180.1889,13.13344877,10834-3,26099.47460927
01943,DEBRIS_01943,66.8579,352.3530,0.0056607,337.7290,22.1350,14.27659686,44995-3,26099.14200736
1948,DEBRIS_1948,79.8487,348.0965,0.0752696,65.6694,302.1134,13.60667954,12351-2,26099.76394878
1951,DEBRIS_1951,79.6144,18.1829,0.0766956,66.9702,301.0417,13.57677208,15337-2,26099.78347719
1959,DEBRIS_1959,31.7908,56.0512,0.0062218,336.0964,23.6791,14.58981425,14340-3,26099.58317230
01961,DEBRIS_01961,31.8578,10.2139,0.0003773,286.2250,73.7990,15.15488395,28072-3,26099.42587875
